Entrée;Plat principal;Garniture;Produit laitier ou divers;Dessert
Carottes râpées;Emincé de poulet sauce Yassa;Pommes vapeur;Yaourt aromatisé;
Tomate vinaigrette;Emincé de saumon sauce citron;Purée de patate douce;Yaourt nature sucré Le P'tit Gallo;
Salade verte;Emincé de saumon sauce crème;Purée de chou-fleur au cheddar;Fromage blanc et Coulis de fruits jaunes;
Tomates concassées, maïs, chips tortilla;Emincé de saumon sauce persane;Pommes de terre vapeur;Port Salut;Prune
Chou blanc à l'indienne;Emincé de thon basquaise;Semoule;Yaourt aux fruits mixés;
Tomates à la vinaigrette;Emincé de thon sauce basquaise;Pommes de terre et chou-fleur;Yaourt nature brassé;
Tomate vinaigrette;Emincé de thon sauce basquaise;Brunoise de légumes / Semoule;Riz au lait;
Œuf à la coque;Enchilada de légumes et soja;Riz créole;Yaourt aux fruits mixés;Biscuit Quadro
;Enchilada haricots rouges et maïs;;Coulommiers;Poire
;Enchilada haricots rouges, maïs;;Camembert;Banane
Potage de légumes verts au fromage frais;Enchiladas de haricots rouges aux légumes;;;Banane
Pastèque;Escalope de dinde sauce champignon;Riz;Yaourt Les Deux Vaches vanille;
Tartine thon-ciboulette;Escalope de volaille panée;Carottes et flageolets;Yaourt à boire;Pomme
Salade iceberg, vinaigrette à la mangue;Escaloppe de dinde aux herbes de provence;Semoule;Fol Epi;Compote allégée de pommes
;Estouffade de bœuf;Petits Pois;Petit Roulé;Raisin
Salade de pommes de terre au paprika;Estouffade de bœuf;Petits pois;Camembert;Clémentine
Salade de coquillettes au thon;Estouffade de bœuf;Petits pois;Pointe de brie;Nectarine
Salade de pommes de terre au fromage blanc, paprika, ciboulette;Estouffade de bœuf;Haricots verts;Port Salut;Kiwi
Velouté de légumes et Vache qui rit;Estouffade de bœuf à la provençale;Semoule;Fromage blanc;"Fruit de saison ""Poire """
;Estouffade de bœuf à la provençale;Coquillettes;Fromage frais Saint-Moret;Pêche
;Estouffade de bœuf à la provençale;Semoule Bio;Saint-Môret;Banane Bio Commerce Equitable
Carottes râpées;Faboulettes;Riz et Trio de légumes / Nouvelle recette;Pont l'Evêque;Banane et sauce chocolat
;Fajistas de bœuf aux légumes;;Yaourt brassé sucré;Banane
Betteraves vinaigrette;Fajitas;;Yaourt nature sucré;Nectarine
Potage aux poireaux et épices;Fajitas;;Coulommiers;Lacté vanille
Salade Iceberg;Fajitas;;Coulommiers;Mousse au chocolat au lait
Salade iceberg;Fajitas;;Port Salut;Panna cotta au coulis de fruits rouge
Salade coleslaw;Fajitas;;Fol Epi;Compote allégée pommes-bananes
Salade Iceberg;Fajitas;;Riz au lait;Biscuit russe
Carottes râpées vinaigrette;Fajitas;;Brie;Beignet au chocolat
Salade iceberg et croûtons;Fajitas;;Gouda;Banane
Salade coleslaw;Fajitas;;Emmental;Lacté vanille
Salade Iceberg;Fajitas;;Saint Nectaire;Flan nappé caramel
Salade Iceberg;Fajitas;;Coulommiers;Mousse au chocolat au lait
Potage de légumes verts;Fajitas au jambon de dinde et trois fromage;;Yaourt nature sucré Le P'tit Gallo;Kiwi gold
Potage de légumes verts;Fajitas au jambon de dinde et trois fromage;;Yaourt nature sucré Le P'tit Gallo;Kiwi gold
Salade et mais;Fajitas de bœuf;;Coulommiers;Gâteau au chocolat des Andes
Salade Iceberg;Fajitas de bœuf;;Saint-Moret;Banane
Tartine œuf-ciboulette;Fajitas de bœuf;;Fromage blanc;Pêche plate
Tomates vinaigrette à la ciboulette;Fajitas de bœuf;;Mimolette;Mousse au chocolat
Tomates - maïs épicé et chips tortilla;Fajitas de bœuf;;Camembert;Mousse au chocolat au lait
Salade Iceberg;Fajitas de bœuf;;Yaourt Malo à la vanille;Petit Beurre
Salade Iceberg;Fajitas de bœuf;;Yaourt Malo à la vanille;Petit Beurre
Mâche;Fajitas de bœuf;;Yaourt Malo Bio à la vanille;Abricots
Mâche;Fajitas de bœuf;;Yaourt nature sucré Le P'tit Gallo;Abricots
Melon;Fajitas de bœuf;;Tartare;Mousse au chocolat au lait
Jus d'Ananas et Tartinade avocat tacos;Fajitas de bœuf;;Emmental râpé;Brownie mexicain
;Fajitas de bœuf;;Fromage à tartiner;Abricots
Tomates vinaigrette basilic;Fajitas de bœuf;;Milk shake au chocolat;Langue de chat
Carottes râpées;Fajitas de bœuf;;Coulommiers;Mousse au chocolat
Velouté de pois cassés;Fajitas de bœuf;;Yaourt aux fruits mixés;Clémentine
Salade Iceberg;Fajitas de bœuf;;Coulommiers;Mousse au chocolat
Salade Iceberg;Fajitas de bœuf;;Kiri;
Salade Iceberg;Fajitas de bœuf;;Coulommiers;Mousse au chocolat
;Fajitas de bœuf;;Fromage à tartiner;Banane
Salade Iceberg;Fajitas de bœuf;;Saint Nectaire;Pomme
;Fajitas de bœuf;;Fromage à tartiner;Abricots
;Fajitas de bœuf;Salade verte;Coulommiers;Purée de pommes
;Fajitas de bœuf;;Brie;Pomme
;Fajitas de bœuf aux légumes;;Yaourt nature sucré;Nectarine
;Fajitas de bœuf aux légumes;;Yaourt brassé sucré;Banane
;Fajitas de bœuf aux légumes;;Fromage frais Bio aux fruits;Orange
;Fajitas de bœuf aux légumes;;Yaourt aux fruits mixés;Banane
;Fajitas de bœuf aux légumes;;Yaourt nature sucré;Clémentine
;Fajitas de bœuf aux légumes;;Yaourt vanille;Banane
;Fajitas de bœuf aux légumes;;Yaourt à la vanille;Pêche
;Fajitas de bœuf aux légumes;;Yaourt brassé sucré;Banane
;Fajitas de bœuf aux légumes;;Cantal;Banane
Salade verte;Fajitas de légumes et haricots rouges (primaire)  / chili sin carné (maternelle);Riz (maternelle);Yaourt nature sucré;
Salade iceberg et croûtons;Fajitas de poulet;;Carré;Liégeois au chocolat
Carottes râpées à la vanille;Fajitas de poulet;;Compote pomme-fraise à la Poudre Défendue;Biscuit Russe
Tomates vinaigrette;Fajitas de volaille sauce kebab;;Petit Filou;Pomme
Velouté de potiron;Far normand salé;Salade verte vinaigrette;;Purée de pommes
Soupe de potiron;Filet de cabillaud (Cie des Pêches de Saint-Malo) sauce citron;Haricots plats / Riz;Saint-Paulin;Clémentine
Salade coleslaw;Filet de cabillaud à l'orientale;Semoule;Petit Suisse;Clémentine
Carottes râpées à l'orange;Filet de cabillaud à l'orientale;Semoule;Liégeois au chocolat;Biscuit sablé
Œuf dur mayonnaise;Filet de cabillaud à l'orientale;Semoule;Carré;Compote allégée pommes-bananes
Salade coleslaw;Filet de cabillaud à l'orientale;Riz créole;Mélusin;Mousse au chocolat
Melon;Filet de cabillaud à l'orientale;Semoule;Vache Picon;Nectarine
Melon;Filet de cabillaud à l'orientale;Semoule;Vache Picon;Eclair au chocolat
Carottes râpées à l'orange;Filet de cabillaud sauce beurre blanc;Riz;Mélusin;
Carottes râpées vinaigrette;Filet de cabillaud sauce beurre blanc;Riz créole;Mélusin;Banane
Betteraves vinaigrette;Filet de cabillaud sauce beurre blanc;Riz créole;Yaourt aromatisé;Poire
Carottes râpées vinaigrette à l'orange;Filet de cabillaud sauce persane;Riz;Camembert;Banane
Betteraves;Filet de cabillaud sauce persane;Purée de potiron;Saint Nectaire;Clémentine
Tomates vinaigrette;Filet de cabillaud sauce persane;Semoule;Fromage blanc;Fraises
Pâté de campagne et cornichons;Filet de cabillaud sauce retour des Indes;Semoule;Yaourt Malo à la vanille;Abricots
Carottes râpées vinaigrette;Filet de cabillaud sauce retour des Indes;Riz créole;Fol Epi;Raisin
Velouté carottes-curry-orange;Filet de cabillaud sauce Retour des Indes;Semoule;Mélusin;Beignet aux pommes
Concombre vinaigrette;Filet de cabillaud sauce retour des Indes;Tortis;Crème Malo au chocolat;Pomme
Carottes râpées vinaigrette;Filet de cabillaud sauce Retour des Indes;Tortis;Yaourt Malo à la vanille;"Fruit de saison ""Orange"""
Betteraves vinaigrette;Filet de colin d'Alaska pané;Ratatouille - Pommes de terre;Carré;Beignet au chocolat
Bouillon alphabet;Filet de colin d'Alaska pané;Haricots verts;Cantal;Clémentine
Bouillon alphabet;Filet de colin d'Alaska pané;Chou-fleur béchamel;Cantal;Compote allégée pommes-ananas
Salade de coquillettes au thon;Filet de colin d'Alaska pané;Carottes;Saint-Moret;Poire
Bouillon alphabet;Filet de colin d'Alaska pané;Carottes;Saint Nectaire;Mousse au chocolat
Salade de coquillettes au thon;Filet de colin d'Alaska pané;Carottes;Coulommiers;Mousse au chocolat
Carottes râpées et mozzarella;Filet de colin d'Alaska pané;Brocolis au fromage fondu;;Clafoutis abricots griottes
Betteraves;Filet de colin d'Alaska pané;Carottes;Cake moelleux au chocolat;Crème anglaise
Carottes râpées sauce vinaigrette à l'orange;Filet de colin d'Alaska pané;Petits pois;;Fromage blanc sucré
Carottes râpées à l'orange;Filet de colin d'Alaska pané;Haricots verts;Riz au lait;Petit Beurre
Potage de légumes;Filet de colin d'Alaska pané;Petits pois;Carré;Compote allégée de pommes
;Filet de colin d'Alaska pané;Haricots verts;Camembert;Raisin noir
Melon;Filet de colin d'Alaska pané;Carottes;Yaourt nature sucré Le P'tit Gallo;Kiwi
Carottes râpées vinaigrette;Filet de colin d'Alaska pané;Brocolis au fromage fondu;;Gâteau au yaourt
Tomates vinaigrette à la ciboulette;Filet de colin d'Alaska pané;Purée de potiron;Emmental;Pêche
Betteraves vinaigrette;Filet de colin d'Alaska pané;Gratin de chou-fleur;Brie;Poire
Salade de coquillettes au thon;Filet de colin d'Alaska pané;Carottes;Coulommiers;Mousse au chocolat
Carottes râpées à l'orange;Filet de colin d'Alaska pané;Petits pois;Emmental;Cake au daim
Tomates mozzarella;Filet de colin d'Alaska pané;Haricots verts;;Brownie
Bouillon alphabet et gruyère râpé;Filet de Colin d'Alaska pané;Gratin brocolis coquillettes;;Poire
Tomates vinaigrette;Filet de colin d'Alaska pané;Purée de courgette à l'huile d'olive;Yaourt nature sucré;
Betteraves vinaigrette;Filet de colin d'Alaska pané;Ratatouille - Pommes de terre;Carré;Beignet au chocolat
Melon;Filet de colin d'Alaska pané;Carottes;Yaourt nature sucré Le P'tit Gallo;Kiwi
Velouté de potiron au fromage frais;Filet de colin d'Alaska pané;Chou-fleur et Coquillettes;;Kiwi
Tomate vinaigrette mozzarella;Filet de colin d'Alaska pané;Gratin de brocolis;;Cake aux pépites de chocolat
Salade de perles aux lardons;Filet de colin d'Alaska pané;Carottes;Camembert;Nectarine
Salade de perles au surimi;Filet de colin d'Alaska pané;Carottes;Saint-Moret;Pêche
Salade vinaigrette et cheddar;Filet de colin d'Alaska pané;Brocolis au fromage fondu;;Cake chocolat noix de coco
Velouté de potiron;Filet de colin d'Alaska pané;Haricots verts;Coulommiers;Compote allégée de pommes
Potage de potiron;Filet de colin d'Alaska pané;Haricots verts;Petit Suisse;Clémentine
Œuf dur mayonnaise;Filet de colin d'Alaska pané;Chou-fleur béchamel;Rondelé;Raisin
Tomates vinaigrette à la ciboulette;Filet de colin d'Alaska pané;Purée de carottes;Emmental;Banane
Concombre vinaigrette rêve de Cochin;Filet de Colin d'Alaska pané;Riz;Fromage frais aux fruits;
Tomates vinaigrette à la ciboulette;Filet de colin d'Alaska pané;Petits pois et carottes;Gouda;Cake au sarrasin et coulis de framboise
Quiche courgettes, mozzarella et cheddar;Filet de colin d'Alaska pané;Carottes;Yaourt nature sucré Vrai;Banane
Velouté de potiron au fromage frais;Filet de colin d'Alaska pané;Petits pois / Pommes de terre;;Pomme
Tomates vinaigrette ciboulette;Filet de colin d'Alaska pané;Petits pois;Yaourt nature sucré Vrai;Banane
Carottes râpées et féta AOP;Filet de colin d'Alaska pané;Haricots verts;;Clafoutis à la rhubarbe
Salade vinaigrette à la ciboulette et mozarrella;Filet de colin d'Alaska pané;Petits pois fermière;;Cake citron
Carottes râpées sauce au miel;Filet de Colin d'Alaska pané;Brocolis au fromage fondu;Semoule au lait;
Betterave vinaigrette et tartine de fromage frais;Filet de colin d'Alaska pané citron;Duo haricots verts et haricots beurre;;Clafoutis à la rhubarbe
Potage de légumes verts au fromage frais;Filet de Colin d'Alaska pané citron;Brocoli et pommes de terre;;Banane
;Filet de colin d'Alaska pané et citron;Haricots verts;Fol Epi;Nectarine
;Filet de colin d'Alaska pané et citron;Haricots verts;Fol Epi;Nectarine
Carottes râpées à l'orange;Filet de colin MSC sauce persane;Semoule;Edam;Eclair au chocolat
Concombres sauce bulgare;Filet de colin sauce basilic;Semoule;Petit Filou;"Fruit de saison ""Raisin"""
Salade Iceberg et croûtons;Filet de colin sauce basilic;Riz créole;Coulommiers;Flan nappé caramel
Carottes râpées vinaigrette;Filet de colin sauce basilic;Pomme smile;Coulommiers;Compote allégée pommes-vanille
Pastèque;Filet de colin sauce citron;Pomme smile;Pavé d'Affinois;Nectarine
Bouillon alphabet;Filet de colin sauce citron;Riz créole;Yaourt Malo à la vanille;"Fruit de saison ""Kiwi"""
Salade Batavia;Filet de colin sauce courgettes et Vache qui Rit;Coquillettes;Coulommiers;Cerises
Œuf dur mayonnaise;Filet de colin sauce crème;Carottes/ Pommes de terre;Mélusin;Eclair au chocolat
Carottes râpées;Filet de colin sauce crème;Semoule;Yaourt aux fruits mixés;Poire
Saucisson à l'ail;Filet de colin sauce crème;Haricots beurre;Saint-Paulin;Beignet au chocolat
Carottes râpées vinaigrette;Filet de colin sauce crème;Semoule;Vache Picon;Compote allégée pommes-bananes
Carottes râpées vinaigrette;Filet de colin sauce persane;Riz créole;Yaourt aux fruits mixés;Clémentine
Carottes râpées vinaigrette;Filet de colin sauce persane;Semoule;Fromage fondu de brebis;Flan nappé au caramel
Melon;Filet de colin sauce persane;Pomme smile;Saint Paulin;Compote allégée pommes-fraises
Carottes râpées vinaigrette;Filet de colin sauce persane;Pommes paillasson;Entremets au chocolat;Biscuit sablé coco
Carottes râpées vinaigrette;Filet de colin sauce persane;Riz créole;Fromage blanc;Coulis de fruits exotiques
Carottes râpées vinaigrette à l'orange;Filet de colin sauce persane;Riz créole;Brie;Purée de pommes
Potage de légumes;Filet de colin sauce persane;Semoule;Carré;Pomme
Betteraves vinaigrette;Filet de Colin sauce vierge;Pennes semi-complètes;Pointe de Brie;Orange
Pastèque;Filet de hoki sauce basilic;Coquillettes;Fromage blanc;Pomme
Friand au fromage;Filet de hoki sauce ciboulette;Jardinière de légumes;Saint Nectaire AOC;Mousse au chocolat
Tomates vinaigrette au basilic;Filet de hoki sauce épicée;Pomme smile;Petit Filou;Pêche plate
Potage de légumes;Filet de hoki sauce persane;Semoule;Carré;Glace vanille-fraise
Pastèque;Filet de hoki sauce persane;Riz créole;Saint Nectaire;Kiwi
Betteraves vinaigrette;Filet de hoki sauce persane;Semoule;Fromage blanc;"Fruit de saison ""Clémentine"""
Salade vinaigrette, dés d'emmental et croûtons;Filet de limande sauce beurre blanc;Riz;Fromage blanc caracrousti;
;Filet mignon de porc sauce moutarde;Haricots verts;Fol Epi;Cake aux pêches
;Filet mignon de porc sauce moutarde;Haricots verts;Coulommiers;Cake aux pêches
Rillettes de thon et gressin;Filetes de poisson;Petits pois;Saint-Moret;Crème à la cannelle
Coleslaw rouge;Finger de soja, blé et graines;Purée de potiron;Mimolette;Gâteau au chocolat et lentilles
Salade cream et cheddar;Fish and Chips sauce chapeau melon;;Coulommiers;Crumble de pommes
Œuf dur mayonnaise;Flan au fromage;;Yaourt nature sucré Le P'tit Gallo;Petit Beurre
Concombre;Flan au fromage;Pommes de terre rissolées;Crème dessert chocolat Le P'tit Gallo;
Potage de légumes;Flan au fromage;Carottes et Pomme de terre;Yaourt nature sucré bio Vrai;Ananas
Cœur de scarole vinaigrette;Flan au fromage et sauce tomate;Pomme smile;Crème dessert vanille;
Salade verte vinaigrette;Flan aux fromages;Pomme de terre noisette;Petit fromage frais sucré;Crêpe
Salade Iceberg et croûtons;Flan lorrain;;Petit Filou;Banane
Salade Iceberg;Flan lorrain;;Fromage blanc;Banane
Salade de riz de Camargue;Fondant au fromage et brocolis;;;Banane
Carottes râpées vinaigrette;Fondant de brebis;;Petit Filou;Beignet au chocolat
Salade vinaigrette, maïs et croûtons;Fondant de patate douce, chèvre et noisettes;Riz;;Glace
Betteraves vinaigrette;Fricassé de dinde sauce suprême;Gratin de pépinettes aux poireaux;Fromage blanc sucré;"Fruit de saison ""Banane"""
Saucisson à l'ail;Fricassée de dinde;Carottes;Mélusin;Lacté chocolat
Œuf dur mayonnaise;Fricassée de dinde;Haricots verts;Saint Paulin;Beignet aux pommes
Salade Iceberg et croûtons;Fricassée de dinde à l'ancienne;Gratin de brocolis;P'tit Louis;Mousse au chocolat
Carottes râpées vinaigrette;Fricassée de dinde à l'ancienne;Semoule;Carré;Lacté au chocolat
Betteraves vinaigrette;Fricassée de dinde à l'ancienne;Coquillettes;Saint Nectaire;Poire
;Fusili à la bolognaise;;Camembert;Banane
;Fusilli à la bolognaise;;Camembert;Banane
Tomate vinaigrette;Fusilli à la mexicaine;;;Lacté chocolat
Salade verte;Fusillis à la mexicaine;;Mimolette;Crêpe et confiture
Cornette;Fusillis à la mexicaine;;Edam;Tarte au chocolat
Salade coleslaw;Galette complète;;Tomme noire;Mousse au chocolat
Jus de pommes;Galette jambon - fromage;Salade Iceberg et croûtons;;Glace vanille chocolat
Jus de pommes;Galette jambon-fromage;;Mousse au chocolat;Banane
Jus de pommes;Galette jambon-fromage;;Petit Filou;Crêpe
Potage de légumes verts;Galette jambon-fromage;;Yaourt aromatisé;Poire
Jus de pommes;Galette jambon-fromage;;Petit Filou;Crêpe
Carottes râpées vinaigrette;Galette jambon-fromage;;Yaourt nature sucré;Crêpe
Jus de pommes;Galette jambon-fromage;;Petit suisse;Crêpe
Jus de pommes;Galette jambon-fromage;;Yaourt Malo à la vanille;Crêpe
Jus de pomme;Galette jambon-fromage;;Yaourt Malo à la vanille;Crêpe
Jus de pommes;Galette jambon-fromage;;Yaourt Malo à la vanille;Crêpe
Jus de pommes;Galette jambon-fromage;;Petit Filou;Crêpe
Jus de pommes;Galette jambon-fromage;;Petit Filou;Crêpe
Jus de pommes;Galette jambon-fromage;;Yaourt Vrai framboise;Nectarine
Jus de pommes;Galette jambon-fromage;;Yaourt Vrai à la framboise;Kiwi
Jus de pommes;Galette jambon-fromage;;Yaourt Malo à la vanille;Banane
Jus de pommes;Galette jambon-fromage;;Yaourt nature sucré Vrai;Crêpe
Jus de pommes;Galette jambon-fromage;;Yaourt Malo à la vanille;Crêpe
Jus de pomme;Galette jambon-fromage;;Pomme pêche crème fruits rouges;Biscuit russe
Melon;Galette œuf fromage;;;Crème dessert chocolat
Salade vinaigrette;Galette œuf fromage;;;Beignet fourré à la pomme
Carottes râpées vinaigrette;Galette œuf fromage;;;Crème dessert caramel
Pastèque;Galette œuf fromage;;;Crème dessert saveur vanille
Salade composée semoule, concombre et poivron;Galette œuf-fromage;;;Crème dessert vanille
;Galette œuf-fromage;Poêlée de haricots verts et patates douces;Yaourt nature sucré Vrai;Orange
Pomelo et sucre;Galette œuf-fromage (élémentaire) / omelette (maternelle);Pommes de terre rissolées;Dessert façon Mont Blanc;
Salade verte;Galette œuf-fromage (primaire et adulte) / Omelette (maternelle);Carottes;Yaourt aux fruits mixés;
Carottes râpées à l'orange;Galette saucisse;;Tomme noire;Crêpe
Salade Iceberg;Galette saucisse;;Camembert;Crème dessert Malo à la vanille
Melon;Galette saucisse;;Gouda;Milk Shake à la banane
Jus de pommes;Galette saucisse;;Yaourt Malo à la vanille;Crêpe
Carottes râpées vinaigrette;Galette saucisse;;Fromage blanc sucré;
Potage potiron-châtaigne;Galette saucisse;;Flan nappé caramel;Poire
Jus de pommes;Galette saucisse;;Yaourt aromatisé fraise-framboise;Crêpe
Tomates vinaigrette;Galette saucisse;;Entremets au lait entier au chocolat;Biscuit Russe
Carottes râpées vinaigrette et féta AOP;Galette saucisse;;;Lacté chocolat
Salade et Cheddar;Galette saucisse;;;Purée de pommes
Jus de pommes;Galette saucisse;;P'tit Malin aux fruits;Crêpe
Salade et dés de mimolette;Galette saucisse;;;Crêpe
Salade vinaigrette;Galette saucisse;;;Flan nappé au caramel
Melon;Galette saucisse;;Gouda;Milk Shake à la banane
Carottes râpées et mozzarella;Galette saucisse;;;Compote de pommes et bananes
Concombre Mozarrella;Galette saucisse;;;Compote pomme fraise
Salade et dés de mimolette;Galette saucisse;;;Crêpe
Carottes râpées sauce vinaigrette au miel;Galette saucisse;;Fromage frais aux fruits;
Jus de pommes;Galette saucisse;;Yaourt nature sucré Le P'tit Gallo;Crêpe
Jus de pommes;Galette Saucisse;;Yaourt nature sucré Vrai;Crêpe
Potage de chou-fleur à la vanille;Galette saucisse;;Yaourt aromatisé;
Salade et Cheddar;Galette saucisse;;;Purée de pommes
Carottes râpées sauce vinaigrette au miel;Galette saucisse;;;Yaourt Bio à la vanille
Jus de pommes;Galette Saucisse;;Yaourt nature sucré Vrai;Crêpe
Salade verte et dés de mimolette;Galette saucisse;;;Crêpe
Tomates mozzarella;Galette saucisse;;;Purée de pêche
Salade et mozzarella;Galette saucisse;;;Purée pomme/fraise
Salade verte;Galette saucisse;;Crème dessert bio chocolat Le P'tit Gallo;
Salade vinaigrette et maïs;Galette saucisses;;;Compote pomme/fraise
Tomates mozzarella;Galette saucisses;;;Compote de pommes/fraises
Salade vinaigrette;Galettes saucisses;;Yaourt aromatisé;
Salade verte et cheddar;Galettes saucisses;;;Purée de pommes
Saucisson à l'ail et cornichons;Galopin de veau au jus;Petits pois;Edam;Mousse au chocolat
Carottes râpées vinaigrette;Galopin de veau au jus;"Pommes ""paillasson""";Edam;Beignet aux pommes
Œuf dur mayonnaise;Galopin de veau au jus;Haricots verts;Flan nappé caramel;Clémentine
Bâtonnets de surimi sauce cocktail;Galopin de veau au jus;Purée de carottes;Fol Epi;Nectarine
Tartine thon-ciboulette;Galopin de veau au jus;Gratin de chou-fleur;Yaourt nature sucré Vrai;Banane
Saucisson à l'ail;Galopin de veau au jus;Carottes;Camembert;Glace vanille-fraise
Betteraves vinaigrette;Galopin de veau au jus;Carottes;Petit Filou;Pêche
Carottes râpées vinaigrette;Galopin de veau au jus;"Pommes ""paillasson""";Edam;Beignet aux pommes
Potage de courgettes;Galopin de veau au jus;Carottes;Cantal;Mousse au chocolat
Carottes râpées vinaigrette;Galopin de veau au jus;Haricots beurre;Riz au lait;Petit beurre
Pâté de campagne;Galopin de veau au jus;Purée d'épinards;Petit Suisse;Fraises
Cake au fromage;Galopin de veau au jus;Purée de potiron;Carré;Lacté chocolat
Œuf dur mayonnaise;Galopin de veau sauce barbecue;Haricots verts;Carré;Yaourt Malo à la vanille
Salade coleslow;Galopin de veau sauce forestière;Riz créole;Fromage fondu à l'emmental;Kiwi
Salade de pommes de terre au thon;Galopin de veau sauce forestière;Chou fleur béchamel;Yaourt nature sucré;"Fruit de saison ""Raisin"""
Tartine au thon;Galopin de veau sauce forestière;Gratin de potiron;Vache Picon;"Fruit de saison ""Pomme"""
Potage de brocolis au fromage;Galopin de veau sauce forestière;Semoule;Emmental;Yaourt Malo à la vanille
Pâté de campagne;Galopin de veau sauce forestière;Petits pois;Gouda;Flan nappé caramel
Œuf dur mayonnaise;Galopin de veau sauce tomate;Haricots verts à la tomate;Fromage blanc sucré;"Fruit de saison ""Raisin"""
Tomates vinaigrette;Goulasch de bœuf;Carottes;Riz au lait;Petit Beurre
Salade Iceberg et croûtons;Goulasch de bœuf;Petits pois;Carré;Beignet aux pommes
Tartine thon ciboulette;Goulasch de bœuf;Ratatouille;Saint Nectaire;Banane
Tartine thon-ciboulette;Goulasch de bœuf;Carottes;Camembert;Liégeois au chocolat
Tartine surimi-paprika;Goulasch de bœuf;Petits pois;Chavroux;Clémentine
Tomates vinaigrette;Goulasch de bœuf;Carottes;Yaourt nature sucré Le P'tit Gallo;Fraises
"Cake salé ""Tadaam""";Goulasch de bœuf;Carottes;Saint Paulin;Flan pâtissier
Avocat au surimi;Goulasch de bœuf;Haricots verts et pommes de terre;Emmental;Beignet au chocolat
Salade de pépinettes;Goulasch de bœuf;Gratin de chou-fleur;Fromage blanc sucré;Abricots
Saucisson sec;Goulasch de bœuf;Haricots verts;Saint-Paulin;Banane
Céleri rémoulade;Goulasch de bœuf;Jardinière de légumes;Saint Nectaire;Gaufre au sucre
Concombre au Boursin;Goulasch de bœuf;Ratatouille et pommes de terre;Fromage blanc;Banane
Carottes râpées vinaigrette;Goulasch de bœuf;Pomme smile;Fromage blanc;Coulis de fruits rouges
;Goulasch de bœuf;Tortis;Yaourt nature sucré;Raisin
Salade verte et mozzarella;Goulasch de bœuf;Boulgour;;Fromage blanc et coulis de fruits rouges
Carottes râpées;Goulasch de bœuf;Ratatouille / Pommes de terre;Fromage blanc à la vanille;
Carottes râpées vinaigrette;Goulasch hongrois;Purée de chou-fleur;Cantal;Gaufre au sucre
Crêpe au fromage;Goulash de bœuf;Brocolis béchamel;Saint-Paulin;Liégeois au chocolat
Tartine thon-ciboulette;Goulash de bœuf;Carottes;Milk shake au chocolat;Poire
;Goulash de bœuf;Petits pois;Petit roulé;Tarte au chocolat
Bouillon alphabet;Goulash de bœuf;Petits pois;Coulommiers;Banane
;Goulashde bœuf;Semoule Bio;Emmental;Ananas
Salade verte et rondelles de radis, vinaigrette au miel;Gratin de coquillettes aux lardons;;Yaourt Vrai vanille;
Carottes râpées;Gratin de coquillettes aux lardons;;Yaourt nature sucré Vrai;Poire
Salade verte;Gratin de coquillettes aux lardons;;Yaourt Vrai à la framboise;
Œuf dur mayonnaise;Gratin de gnocchetti, brocolis, cheddar et mozzarella;;Yaourt à boire;Petit Beurre
Salade iceberg;Gratin de pâtes au lardons;;Petit Filou;Banane
Tomates à la ciboulette;Gratin de pâtes charcutier;;Yaourt aromatisé;Nectarine
Salade Iceberg;Gratin de pâtes charcutier;;Flan nappé caramel;Pomme
Betteraves;Gratin de pâtes charcutier;;Petit Filou;Pomme
Salade Iceberg;Gratin de pâtes charcutier;;Entremets au chocolat;Crêpe gavottes
Céleri sauce cocktail;Gratin de pâtes charcutier;;Petit Filou;Pomme
Potage de brocolis au fromage;Gratin de pâtes charcutier;;Petit filou;Pomme
Potage de courgettes;Gratin de pâtes charcutier;;Petit Filou;Pomme
Carottes râpées vinaigrette;Gratin de pâtes charcutier;;Petit Suisse;Raisin
Salade Iceberg et croutons;Gratin de pâtes charcutier;;Petit Filou;Banane
Velouté de carottes;Gratin de pâtes charcutier;;Yaourt nature sucré;"Fruit de saison ""Clémentine"""
Salade iceberg;Gratin de pâtes charcutier;;Lacté vanille;Kiwi
Potage de légumes verts;Gratin de pâtes charcutier;;P'tit Malin aux fruits;Poire
Concombre façon Tzatziki;Gratin de pâtes charcutier;;Tomme noire;Flan nappé au caramel
Concombre façon Tzatziki;Gratin de pâtes charcutier;;Tomme noire;Flan nappé au caramel
Salade Iceberg;Gratin de pâtes charcutier;;Petit Filou;Poire
Carottes râpées à l'orange;Gratin de pâtes charcutier;;Gouda;Kiwi
Carottes râpées vinaigrette;Gratin de pâtes charcutier;;Mélusin;Compote allégée pommes-fraises
Betteraves vinaigrette;Gratin de pâtes charcutier;;Petit Filou;Tarte aux fruits rouges
Salade vinaigrette et cheddar;Gratin de pâtes charcutier;;;Purée de poire
Tomates vinaigrette au basilic;Gratin de pâtes charcutier;;Petit Filou;Pomme
Salade Iceberg;Gratin de pâtes charcutier;;Petit filou;Clémentine
Velouté de lentilles corail et lait de coco;Gratin de pommes de terre, épinards et fromage à raclette;;;Orange
Velouté de légumes verts;Gratin Gnochettis, Brocolis, Cheddar, Mozzarella;;;Banane Bio
Betteraves vinaigrette;Haché au poulet;Petits pois;Riz au lait;Cookie
Salade de coquillettes au thon;Haché au poulet;Petits pois;Fol Epi;Compote allégée pommes-fraises
Salade de coquillettes au thon;Haché au poulet;Haricots verts;Mimolette;Glace vanille-friase
